날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1/1/2011,108,-6.8,-10.4,-2.9
1/2/2011,108,-5.4,-8.5,-1.2
1/3/2011,108,-4.5,-8.5,-0.3
1/4/2011,108,-3.9,-7.4,-1.7
1/5/2011,108,-4,-7.7,-1.8
1/6/2011,108,-7.6,-9.8,-4.6
1/7/2011,108,-7,-10.6,-2.9
1/8/2011,108,-3.6,-8.2,0.1
1/9/2011,108,-7,-10.3,-0.3
1/10/2011,108,-8.2,-11.8,-4.6
1/11/2011,108,-5.4,-7.8,-2.7
1/12/2011,108,-8.2,-11.1,-4.9
1/13/2011,108,-5.9,-11.1,-0.6
1/14/2011,108,-3.8,-6.9,0.3
1/15/2011,108,-12.2,-15.7,-6.9
1/16/2011,108,-14.5,-17.8,-10.7
1/17/2011,108,-9.7,-14.1,-4.8
1/18/2011,108,-6.7,-10.8,-2.7
1/19/2011,108,-6.6,-10,-3.2
1/20/2011,108,-8.2,-10.5,-4.7
1/21/2011,108,-6.8,-9.7,-3.2
1/22/2011,108,-4.3,-7.1,-0.8
1/23/2011,108,-4.5,-7.1,-2.1
1/24/2011,108,-8.8,-10.9,-5.8
1/25/2011,108,-8.4,-11.9,-4.4
1/26/2011,108,-8.5,-10.7,-5.2
1/27/2011,108,-8.9,-11.5,-5.7
1/28/2011,108,-7.9,-10.5,-4.3
1/29/2011,108,-9.1,-11.5,-5.5
1/30/2011,108,-10.1,-13.6,-5.7
1/31/2011,108,-6.2,-12.7,-1.8
2/1/2011,108,-0.2,-4.2,5
2/2/2011,108,1.3,-2.8,7
2/3/2011,108,1.5,-1.3,4.9
2/4/2011,108,1.2,-0.5,3.5
2/5/2011,108,1.1,-0.8,5.5
2/6/2011,108,0.3,-2.1,2.7
2/7/2011,108,0.3,-2.8,4.2
2/8/2011,108,2.9,-0.5,8.5
2/9/2011,108,-1.2,-4.1,2.1
2/10/2011,108,-2.1,-5.6,2.7
2/11/2011,108,-2.9,-6.2,1.8
2/12/2011,108,-5.9,-9.2,-1.8
2/13/2011,108,-4.8,-9,-0.2
2/14/2011,108,-3.4,-6.7,-0.2
2/15/2011,108,-1.8,-5.5,2.9
2/16/2011,108,-0.6,-5,4.3
2/17/2011,108,0.9,-2,4.7
2/18/2011,108,1.6,-3,7.3
2/19/2011,108,1.4,-2.6,7
2/20/2011,108,5.3,-2.1,12.8
2/21/2011,108,6.2,1.4,12.3
2/22/2011,108,6.2,0.7,13
2/23/2011,108,5.6,0.6,12
2/24/2011,108,6.1,2.8,10.5
2/25/2011,108,2,-0.8,6.3
2/26/2011,108,6.2,-0.4,13.2
2/27/2011,108,4.2,1.8,7.4
